SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned,Rating
3834,"720","1","Basic","","1985","Basic Building Set, 7+",1,334,,,,,"http://images.brickset.com/sets/images/720-1.jpg","Yes","No",1,
505,"1682","1","Town","Flight","1990","Space Shuttle Launch",3,423,,,,,"http://images.brickset.com/sets/images/1682-1.jpg","Yes","No",1,
8892,"3065","1","Friends","","2012","Olivia's Tree House",1,191,19.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/3065-1.jpg","Yes","No",1,
3027,"6061","1","Castle","Lion Knights","1984","Siege Tower",4,216,,17.5,,,"http://images.brickset.com/sets/images/6061-1.jpg","Yes","No",1,
3034,"6074","1","Castle","Black Falcons","1986","Black Falcon's Fortress",6,430,25,35,,,"http://images.brickset.com/sets/images/6074-1.jpg","Yes","No",1,
3038,"6077","1","Castle","Classic","1981","Knight's Procession",6,48,,5,,,"http://images.brickset.com/sets/images/6077-1.jpg","Yes","No",1,
3248,"6392","1","Town","Flight","1985","Airport",8,530,,52.75,,,"http://images.brickset.com/sets/images/6392-1.jpg","Yes","No",1,
3333,"6482","1","Town","Rescue","1989","Rescue Helicopter",3,198,,35,,,"http://images.brickset.com/sets/images/6482-1.jpg","Yes","No",1,
3721,"6941","1","Space","Blacktron","1987","Battrax",1,284,,,,,"http://images.brickset.com/sets/images/6941-1.jpg","Yes","No",1,
3726,"6951","1","Space","Classic","1984","Robot Command Center",3,295,,,,,"http://images.brickset.com/sets/images/6951-1.jpg","Yes","No",1,
3727,"6952","1","Space","Classic","1985","Solar Power Transporter",5,317,,36.5,,,"http://images.brickset.com/sets/images/6952-1.jpg","Yes","No",1,
3740,"6970","1","Space","Classic","1980","Beta I Command Base",4,264,,37,,,"http://images.brickset.com/sets/images/6970-1.jpg","Yes","No",1,
23073,"10672","1","Juniors","DC Comics Super Heroes","2014","Batman: Defend the Batcave",3,150,29.99,29.99,29.99,32.99,"http://images.brickset.com/sets/images/10672-1.jpg","Yes","No",1,
23633,"21113","1","Minecraft","Minifig-scale","2014","The Cave",2,249,19.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/21113-1.jpg","Yes","No",1,
24752,"21123","1","Minecraft","Minifig-scale","2016","The Iron Golem",2,208,19.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/21123-1.jpg","Yes","No",1,
23605,"30115","1","Friends","","2014","Jungle Boat",1,31,,4.99,,,"http://images.brickset.com/sets/images/30115-1.jpg","Yes","No",1,
23607,"30310","1","City","Arctic","2014","Arctic Scout",1,40,,,,,"http://images.brickset.com/sets/images/30310-1.jpg","Yes","No",1,
9976,"31003","1","Creator","","2013","Red Rotors",,145,9.99,14.99,17.99,9.99,"http://images.brickset.com/sets/images/31003-1.jpg","Yes","No",1,
9980,"31007","1","Creator","","2013","Power Mech",,223,14.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/31007-1.jpg","Yes","No",1,
10257,"31010","1","Creator","","2013","Treehouse",1,356,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/31010-1.jpg","Yes","No",1,
23054,"31013","1","Creator","","2014","Red Thunder",,66,4.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/31013-1.jpg","Yes","No",1,
22976,"31019","1","Creator","","2014","Forest Animals",,272,17.99,19.99,24.99,12.59,"http://images.brickset.com/sets/images/31019-1.jpg","Yes","No",1,
23059,"31021","1","Creator","","2014","Furry Creatures",,285,17.99,19.99,24.99,12.59,"http://images.brickset.com/sets/images/31021-1.jpg","Yes","No",1,
10369,"31313","1","Mindstorms","EV3","2013","Mindstorms EV3",,601,299.99,349.99,399.99,349.99,"http://images.brickset.com/sets/images/31313-1.jpg","Yes","No",1,
24351,"40154","1","Miscellaneous","","2015","Iconic Pencil Pot",2,174,10.99,14.99,17.99,12.99,"http://images.brickset.com/sets/images/40154-1.jpg","Yes","No",1,
23342,"41032","1","Friends","Jungle Rescue","2014","First Aid Jungle Bike",1,156,12.99,14.99,17.99,10.49,"http://images.brickset.com/sets/images/41032-1.jpg","Yes","No",1,
